lucode,description,usle_c,usle_p
3,Forest Formation,,
11,Wetland,,
12,Grassland,,
29,Rocky Outcrop,,
15,Pasture,,
39,Soybean,,
41,Other Temporary Crops,,
46,Coffee,,
9,Forest Plantation,,
21,Mosaic of Uses,,
24,Urban Area,,
30,Mining,,
25,Other non Vegetated Areas,,
33,"River, Lake and Ocean",,
31,Aquaculture,,
